Servant,id,Avatar,avp,AvatarMax,Nick,R,Class,Attr.,C1,C2,C3,C4,C5,HP,ATK,Availability,asc11,asc11n,asc12,asc12n,asc13,asc13n,asc21,,asc22,,asc23,,asc24,,asc31,,asc32,,asc33,,asc41,,asc42,,asc43,,asc44,,skill11,,skill12,,skill13,,skill21,,skill22,,skill23,,skill24,,skill31,,skill32,,skill33,,skill41,,skill42,,skill43,,skill44,,skill51,,skill52,,skill53,,skill61,,skill62,,skill63,,skill64,,skill71,,skill72,,skill81,,skill82,,campaign1,campaign2,campaign3
Anne Bonny & Mary Read [Archer],131,https://vignette.wikia.nocookie.net/fategrandorder/images/6/60/Anne%26MaryArchericon.png/revision/latest/scale-to-width-down/75?cb=20180203153132,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/36/AnneBonnyMaryReadArcherFinalIcon.png/revision/latest?cb=20180214113802,Anne (Summer),4,Archer,Man,B,B,A,A,Q,11521,9446,Limited,pieceArcher,4,,,,,pieceArcher,10,Jewel,5,,,,,monumentArcher,4,Crystal,8,Seashell,4,monumentArcher,10,Seashell,8,Claw,6,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Crystal,4,,,,,goldArcher,4,Crystal,8,,,goldArcher,10,Jewel,4,,,,,Jewel,7,Chain,15,Chain,45,Grease,12,,,
Antonio Salieri,204,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a8/AntonioIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/dc/AntonioSalieriFinalIcon.png/revision/latest?cb=20180601121616,Salieri,3,Avenger,Earth,B,B,A,A,Q,7840,8125,Story-locked,Dust,8,Bone,8,,,Page,8,Gear,8,,,,,Lantern,8,Lamp,8,,,Heart,8,Tearstone,8,,,,,Chain,8,,,,,Stinger,8,,,,,,,Fluid,10,,,,,Feather,10,,,,,,,Stake,10,,,,,Gunpowder,12,,,,,,,Permafrost,12,,,Scarab,12,,,,,
Arash,16,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e6/Arash.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3c/ArashFinalIcon.png/revision/latest?cb=20180213160017,Arash,1,Archer,Earth,B,B,A,A,Q,7122,5816,Permanent,pieceArcher,2,,,,,pieceArcher,4,Seed,3,,,,,monumentArcher,2,Proof,10,Crystal,2,monumentArcher,4,Crystal,4,Dust,8,,,blueArcher,2,,,,,blueArcher,4,,,,,,,redArcher,2,,,,,redArcher,4,Proof,5,,,,,goldArcher,2,Proof,10,,,goldArcher,4,Seed,2,,,,,Seed,4,Baby,2,Baby,6,Dust,16,,,
Arjuna,84,https://vignette.wikia.nocookie.net/fategrandorder/images/0/03/Arjunaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0c/ArjunaFinalIcon.png/revision/latest?cb=20180214113740,Arjuna,5,Archer,Sky,B,A,A,A,Q,13230,12342,Permanent,pieceArcher,5,,,,,pieceArcher,12,Proof,22,,,,,monumentArcher,5,Feather,8,Jewel,4,monumentArcher,12,Jewel,8,Heart,5,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Feather,4,,,,,goldArcher,5,Feather,8,,,goldArcher,12,Proof,15,,,,,Proof,29,Seed,8,Seed,22,Heart,10,Chaldea Boys Collection 2020,Christmas 2020,Chaldea Boys Collection 2021
Arjuna [Alter],247,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c6/S247Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b3/ArjunaAlterFinalIcon.png,Arjuna Alter,5,Berserker,Sky,B,B,B,A,Q,13837,11669,Limited,pieceBerserker,5,,,,,pieceBerserker,12,Grease,5,,,,,monumentBerserker,5,Lamp,6,Heart,2,monumentBerserker,12,Heart,4,Egg,5,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Lamp,3,,,,,goldBerserker,5,Lamp,6,,,goldBerserker,12,Grease,3,,,,,Grease,6,Ring,6,Ring,18,Egg,10,Yuga Kshetra Chapter Release,,
Arthur Pendragon [Prototype],160,https://vignette.wikia.nocookie.net/fategrandorder/images/f/fc/ArthurIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/48/ArthurFinalIcon.png/revision/latest?cb=20180212152508,Proto Arthur,5,Saber,Earth,B,B,A,A,Q,13975,12465,Limited,pieceSaber,5,,,,,pieceSaber,12,Medal,15,,,,,monumentSaber,5,Proof,29,Fang,12,monumentSaber,12,Fang,24,Scale,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Proof,15,,,,,goldSaber,5,Proof,29,,,goldSaber,12,Medal,10,,,,,Medal,20,Lanugo,4,Lanugo,11,Root,10,23M Downloads Campaign,,
Artoria Caster,284,https://vignette.wikia.nocookie.net/fategrandorder/images/f/fb/S284Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4e/ArtoriaCasterFinalIcon.png/,Castoria,5,Caster,Star,B,A,A,A,Q,14406,10546,Limited,pieceCaster,5,,,,,pieceCaster,12,Seed,9,,,,,monumentCaster,5,Page,10,Root,2,monumentCaster,12,Root,4,Shard,5,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Page,5,,,,,goldCaster,5,Page,10,,,goldCaster,12,Seed,6,,,,,Seed,12,Egg,3,Egg,8,Shard,10,5th Anniversary,,
Artoria Pendragon,2,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ed/ArtoriaPendragonIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/74/ArtoriaPendragonFinalIcon.png/revision/latest?cb=20180820150511,Saber,5,Saber,Earth,B,B,A,A,Q,15150,11221,Permanent,pieceSaber,5,,,,,pieceSaber,12,Fang,18,,,,,monumentSaber,5,Proof,29,Feather,4,monumentSaber,12,Feather,8,Scale,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Proof,15,,,,,goldSaber,5,Proof,29,,,goldSaber,12,Fang,12,,,,,Fang,24,Claw,4,Claw,11,Scale,10,Valentine's 2020,Valentine's 2021,
Artoria Pendragon [Alter],3,https://vignette.wikia.nocookie.net/fategrandorder/images/1/11/Altericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/69/ArtoriaAlterFinalIcon.png/revision/latest?cb=20180212022333,Salter,4,Saber,Man,B,B,A,A,Q,11589,10248,Story-locked,pieceSaber,4,,,,,pieceSaber,10,Fang,15,,,,,monumentSaber,4,Claw,5,Scale,2,monumentSaber,10,Scale,4,Heart,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Claw,4,,,,,goldSaber,4,Claw,5,,,goldSaber,10,Fang,10,,,,,Fang,20,Dust,10,Dust,30,Heart,8,,,
Artoria Pendragon [Archer],129,https://vignette.wikia.nocookie.net/fategrandorder/images/1/16/ArtoriaArchericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b3/ArtoriaArcherFinalIcon.png/revision/latest?cb=20180214113854,Archuria,5,Archer,Earth,B,A,A,Q,Q,14553,11276,Limited,pieceArcher,5,,,,,pieceArcher,12,Seashell,8,,,,,monumentArcher,5,Fang,24,Medal,10,monumentArcher,12,Medal,20,Scale,5,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Fang,12,,,,,goldArcher,5,Fang,24,,,goldArcher,12,Seashell,5,,,,,Seashell,10,Horn,4,Horn,11,Root,10,,,
Artoria Pendragon [Lancer Alter],78,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d9/Alterlancericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2c/ArtoriaLancerAlterFinalIcon.png/revision/latest?cb=20180214132108,Lalter,4,Lancer,Sky,B,B,A,Q,Q,11761,9968,Story-locked,pieceLancer,4,,,,,pieceLancer,10,Horseshoe,6,,,,,monumentLancer,4,Feather,7,Scale,2,monumentLancer,10,Scale,4,Heart,4,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Feather,4,,,,,goldLancer,4,Feather,7,,,goldLancer,10,Horseshoe,4,,,,,Horseshoe,8,Fang,12,Fang,36,Heart,8,Servant Strengthening Quests XIII,,
Artoria Pendragon [Lancer],119,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7c/Arturia_lancer_icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b4/ArtoriaLancerFinalIcon.png/revision/latest?cb=20180214132306,Lartoria,5,Lancer,Sky,B,B,A,Q,Q,15606,10995,Story-locked,pieceLancer,5,,,,,pieceLancer,12,Fang,18,,,,,monumentLancer,5,Medal,20,Horn,3,monumentLancer,12,Horn,6,Scale,5,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,,redLancer,12,Medal,10,,,,,goldLancer,5,Medal,20,,,goldLancer,12,Fang,12,,,,,Fang,24,Horseshoe,6,Horseshoe,18,Heart,10,Valentine's 2020,Valentine's 2021,Holy Grail Front - Camelot
Artoria Pendragon [Lily],4,https://vignette.wikia.nocookie.net/fategrandorder/images/5/54/Lilyicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c0/ArtoriaLilyFinalIcon.png/revision/latest?cb=20180212151707,Saber Lily,4,Saber,Earth,B,B,A,A,Q,10623,7726,Welfare,pieceSaber,4,,,,,pieceSaber,10,Proof,18,,,,,monumentSaber,4,Fang,20,Seed,5,monumentSaber,10,Seed,10,Scale,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Fang,10,,,,,goldSaber,4,Fang,20,,,goldSaber,10,Proof,12,,,,,Proof,24,Claw,3,Claw,9,Scale,8,,,
Artoria Pendragon [Rider Alter],179,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4a/S179.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/55/ArtoriaAlterRiderFinalIcon.png/revision/latest?cb=20180215130330,Maid Alter,5,Rider,Man,B,A,A,Q,Q,14256,10776,Limited,pieceRider,5,,,,,pieceRider,12,Medal,15,,,,,monumentRider,5,Scale,4,Seashell,5,monumentRider,12,Seashell,10,Gallstone,5,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Scale,2,,,,,goldRider,5,Scale,4,,,goldRider,12,Medal,10,,,,,Medal,20,Fang,15,Fang,44,Horseshoe,24,New Year 2021,,
Artoria Pendragon [Ruler],265,https://vignette.wikia.nocookie.net/fategrandorder/images/8/85/S265Icon.png/revision/latest?cb=20190822131025,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8c/ArtoriaPendragonRulerFinalIcon.png/revision/latest?cb=20190822131101,Summer Lartoria,5,Ruler,Sky,B,A,A,Q,Q,16912,9593,Limited,pieceArcher,5,pieceLancer,5,pieceCaster,5,pieceSaber,5,pieceRider,5,pieceAssassin,5,pieceBerserker,5,monumentArcher,5,monumentLancer,5,monumentCaster,5,monumentSaber,5,monumentRider,5,monumentAssassin,5,monumentBerserker,5,blueArcher,5,blueLancer,5,blueCaster,5,blueSaber,5,blueRider,5,blueAssassin,5,blueBerserker,5,redArcher,5,redLancer,5,redCaster,5,redSaber,5,redRider,5,redAssassin,5,redBerserker,5,goldArcher,5,goldLancer,5,goldCaster,5,goldSaber,5,goldRider,5,goldAssassin,5,goldBerserker,5,Seashell,12,,,Scale,15,,,Las Vegas Official Bout,Las Vegas Official Bout Re-Run,
Artoria Pendragon [Santa Alter],73,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d3/Santaaltericon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1e/SantaAlterFinalIcon.png/revision/latest?cb=20180209150518,Santa Alter,4,Rider,Man,B,B,A,A,Q,11286,9258,Welfare,Bucket,1,,,,,Bucket,1,,,,,,,Bucket,1,,,,,Bucket,1,,,,,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Fang,10,,,,,goldRider,4,Fang,20,,,goldRider,10,Horseshoe,4,,,,,Horseshoe,8,Scale,2,Scale,6,Heart,8,,,
Asagami Fujino,200,https://vignette.wikia.nocookie.net/fategrandorder/images/7/71/Icon_Servant_200.png/revision/latest/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/98/AsagamiFujinoFinalIcon.png/revision/latest?cb=20180527144240,Fujino,4,Archer,Man,B,B,A,A,Q,11025,10299,Limited,pieceArcher,4,,,,,pieceArcher,10,Bone,18,,,,,monumentArcher,4,Dust,16,Gallstone,2,monumentArcher,10,Gallstone,4,Tearstone,6,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Dust,8,,,,,goldArcher,4,Dust,16,,,goldArcher,10,Bone,12,,,,,Bone,24,Stake,15,Stake,45,Fluid,60,Servant Summer Camp Re-Run,,
Asclepius,249,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d2/S249Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/9d/AsclepiusFinalIcon.png,Asclepius,3,Caster,Earth,B,A,A,A,Q,10084,6376,Story-locked,pieceCaster,4,,,,,pieceCaster,8,Page,5,,,,,monumentCaster,4,Jewel,6,Baby,4,monumentCaster,8,Baby,7,Scarab,4,,,blueCaster,4,,,,,blueCaster,8,,,,,,,redCaster,4,,,,,redCaster,8,Jewel,3,,,,,goldCaster,4,Jewel,6,,,goldCaster,8,Page,4,,,,,Page,7,Fluid,12,Fluid,36,Egg,7,Yuga Kshetra Chapter Release,Interlude Campaign 12,Chaldea Boys Collection 2020
Ashiya Douman,297,https://static.wikia.nocookie.net/fategrandorder/images/f/f4/S297Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/7/77/S297A4Icon.png/,Douman,5,Alter Ego,Earth,B,A,A,Q,Q,13266,12252,Limited,pieceCaster,5,pieceAssassin,5,,,pieceCaster,12,pieceCaster,12,,,,,monumentCaster,5,monumentAssassin,5,,,monumentCaster,12,monumentAssassin,12,,,,,blueCaster,5,blueAssassin,5,,,blueCaster,12,blueAssassin,12,,,,,redCaster,5,redAssassin,5,,,redCaster,12,redAssassin,12,,,,,goldCaster,5,goldAssassin,5,,,goldCaster,12,goldAssassin,12,,,,,Thread,8,Shard,5,Flame,9,Heart,9,Heian-kyou Chapter Release,,
Ashwatthama,248,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d2/S248Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/80/AshwatthamaFinalIcon.png,Ashwatthama,4,Archer,Sky,B,B,A,Q,Q,11245,10249,Story-locked,pieceArcher,4,,,,,pieceArcher,10,Tearstone,4,,,,,monumentArcher,4,Stake,4,Lamp,3,monumentArcher,10,Lamp,5,Arrowhead,10,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Stake,12,,,,,goldArcher,4,Stake,24,,,goldArcher,10,Tearstone,3,,,,,Tearstone,5,Arrowhead,5,Arrowhead,15,Core,12,Yuga Kshetra Chapter Release,Christmas 2019,Christmas 2019 Re-Run
Asterios,53,https://vignette.wikia.nocookie.net/fategrandorder/images/8/8b/Asteriosicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/31/AsteriosFinalIcon.png/revision/latest?cb=20180218073602,Asterios,1,Berserker,Earth,B,B,B,A,Q,6604,6037,Permanent,pieceBerserker,2,,,,,pieceBerserker,4,Crystal,3,,,,,monumentBerserker,2,Proof,10,Horseshoe,2,monumentBerserker,4,Horseshoe,4,Seed,5,,,blueBerserker,2,,,,,blueBerserker,4,,,,,,,redBerserker,2,,,,,redBerserker,4,Proof,5,,,,,goldBerserker,2,Proof,10,,,goldBerserker,4,Crystal,2,,,,,Crystal,4,Dust,4,Dust,12,Seed,10,,,
Astolfo,94,https://vignette.wikia.nocookie.net/fategrandorder/images/c/ce/Astolfoicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/54/AstolfoFinalIcon.png/revision/latest?cb=20180212021217,Astolfo,4,Rider,Earth,B,A,Q,Q,Q,11172,8937,Permanent,pieceRider,4,,,,,pieceRider,10,Horseshoe,6,,,,,monumentRider,4,Crystal,8,Feather,4,monumentRider,10,Feather,7,Claw,6,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Crystal,4,,,,,goldRider,4,Crystal,8,,,goldRider,10,Horseshoe,4,,,,,Horseshoe,8,Page,5,Page,15,Seed,24,Christmas 2019 Re-Run,,
Astolfo [Saber],270,https://vignette.wikia.nocookie.net/fategrandorder/images/b/bb/S270Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/73/AstolfoSaberFinalIcon.png/,Saber Astolfo,5,Saber,Earth,B,A,A,Q,Q,14248,11694,Limited,pieceSaber,5,,,,,pieceSaber,12,Proof,22,,,,,monumentSaber,5,Medal,20,Horn,3,monumentSaber,12,Horn,6,Scale,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Medal,10,,,,,goldSaber,5,Medal,20,,,goldSaber,12,Proof,15,,,,,Proof,29,Steel,6,Steel,18,Ring,24,Christmas 2019,Apocrypha Collab Re-Run,Christmas 2019 Re-Run
Astraea [Luvia Edelfelt],242,https://vignette.wikia.nocookie.net/fategrandorder/images/0/07/S242Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3f/AstraeaFinalIcon.png/revision/latest?cb=20190427141641,Luvia,4,Ruler,Sky,B,B,A,A,Q,12751,10756,Permanent,pieceSaber,4,pieceCaster,4,pieceBerserker,4,pieceLancer,4,pieceArcher,4,pieceRider,4,pieceAssassin,4,monumentSaber,4,monumentCaster,4,monumentBerserker,4,monumentLancer,4,monumentArcher,4,monumentRider,4,monumentAssassin,4,blueSaber,4,blueCaster,4,blueBerserker,4,blueLancer,4,blueArcher,4,blueRider,4,blueAssassin,4,redSaber,4,redCaster,4,redBerserker,4,redLancer,4,redArcher,4,redRider,4,redAssassin,4,goldSaber,4,goldCaster,4,goldBerserker,4,goldLancer,4,goldArcher,4,goldRider,4,goldAssassin,4,Steel,10,,,Mirror,12,,,Atlantis Chapter Release,Holy Grail Front - Rome,
Atalanta,14,https://vignette.wikia.nocookie.net/fategrandorder/images/3/37/Atalantaicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/16/AtalantaFinalIcon.png/revision/latest?cb=20180214113721,Atalanta,4,Archer,Earth,B,A,A,Q,Q,12476,8633,Permanent,pieceArcher,4,,,,,pieceArcher,10,Feather,5,,,,,monumentArcher,4,Fang,20,Jewel,4,monumentArcher,10,Jewel,7,Seed,12,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Fang,10,,,,,goldArcher,4,Fang,20,,,goldArcher,10,Feather,4,,,,,Feather,7,Dust,10,Dust,30,Seed,24,,,
Atalanta [Alter],202,https://vignette.wikia.nocookie.net/fategrandorder/images/5/51/AtalantaAlterIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/59/AtalantaAlterFinalIcon.png/revision/latest?cb=20180530120639,Nyalterlante,4,Berserker,Earth,B,B,A,Q,Q,10634,9806,Permanent,pieceBerserker,4,,,,,pieceBerserker,10,Seed,8,,,,,monumentBerserker,4,Grease,5,Root,2,monumentBerserker,10,Root,4,Lanugo,6,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Grease,3,,,,,goldBerserker,4,Grease,5,,,goldBerserker,10,Seed,5,,,,,Seed,10,Gunpowder,15,Gunpowder,45,Claw,12,Interlude Campaign 14,,
